"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"25 Toa Payoh Lorong 8","","Weekday","0.00","23.59","1.30","","","","","","","","","40.7143528","74.0059731"
"","","Saturday","0.00","23.59","1.30","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.30","","","","","","","","","",""
"45 Burghley Drive","","Weekday","0.00","23.59","0.54","","","","","","","","","1.3597681","103.8596263"
"","","Saturday","0.00","23.59","0.54","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.54","","","","","","","","","",""
"Ang Mo Kio Hub","","Weekday","0.00","23.59","0.60","0.60","0.30","","","","","","","1.3694045","103.848792"
"","","Saturday","0.00","23.59","0.65","0.65","0.32","","","","","","","",""
"","","Sunday","0.00","23.59","0.65","0.65","0.32","","","","","","","",""
"Balestier Plaza","","Weekday","0.00","23.59","0.56","","","","","","","","","1.3257101","103.8504087"
"","","Saturday","0.00","23.59","0.56","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.56","","","","","","","","","",""
"Balestier Point","","Weekday","8.00","22.00","0.60","","","","","","","","","1.3227638","103.8520112"
"","","","22.00","8.00","1.00","","","","","","","","","",""
"","","Saturday","8.00","22.00","0.60","","","","","","","","","",""
"","","","22.00","8.00","1.00","","","","","","","","","",""
"","","Sunday","8.00","22.00","0.60","","","","","","","","","",""
"","","","22.00","8.00","1.00","","","","","","","","","",""
"Bras Basah Complex","","Weekday","7.00","17.00","1.00","","","","","","","","","1.2969076","103.8536035"
"","","","17.00","1.00","0.50","","","","","","","","","",""
"","","Saturday","7.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","1.00","0.50","","","","","","","","","",""
"","","Sunday","7.00","1.00","0.50","","","","","","","","","",""
"Causeway Point","","Weekday","7.00","22.30","0.60","","","","","","","","","1.4359844","103.7860127"
"","","Saturday","7.00","23.59","0.60","","","","","","","","","",""
"","","Sunday","7.00","23.59","0.60","","","","","","","","","",""
"Central Place","","Weekday","0.00","23.59","0.90","0.90","0.85","","","","","","","1.3758532","103.8792958"
"","","Saturday","0.00","23.59","0.90","0.90","0.85","","","","","","","",""
"","","Sunday","0.00","23.59","2.50","0.00","","","","","","","","",""
"City Square Mall","","Weekday","7.00","18.00","0.60","","","","","","","","","1.3114724","103.8566701"
"","","","18.00","3.30","3.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","0.70","","","","","","","","","",""
"","","","18.00","3.30","3.50","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","0.70","","","","","","","","","",""
"","","","18.00","3.30","3.50","0.00","","","","","","","","",""
"Compass Point","","Weekday","7.00","23.00","0.60","","","","","","","","","1.3920529","103.8950653"
"","","Saturday","7.00","23.00","0.60","","","","","","","","","",""
"","","Sunday","7.00","23.00","0.60","","","","","","","","","",""
"Goldhill Plaza","","Weekday","7.00","17.30","0.80","0.80","0.50","","","","","","","1.3178172","103.8434145"
"","","","17.30","23.59","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.30","0.50","","","","","","","","","",""
"","","","17.30","23.59","2.00","0.00","","","","","","","","",""
"","","Sunday","7.00","17.30","0.50","","","","","","","","","",""
"","","","17.30","23.59","2.00","0.00","","","","","","","","",""
"Heartland Mall","","Weekday","7.00","22.30","0.50","","","","","","","","","1.3595839","103.8852768"
"","","","22.30","7.00","1.00","","","","","","","","","",""
"","","Saturday","7.00","22.30","0.50","","","","","","","","","",""
"","","","22.30","7.00","1.00","","","","","","","","","",""
"","","Sunday","7.00","22.30","0.50","","","","","","","","","",""
"","","","22.30","7.00","1.00","","","","","","","","","",""
"Hindoo Road Off-Street","","Weekday","7.00","6.59","0.50","","","","","","","","","1.3079731","103.8547067"
"","","Saturday","7.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","6.59","0.50","","","","","","","","","",""
"Hougang Green Shopping Mall","","Weekday","7.00","17.00","0.53","0.53","0.55","","","","","","","1.3792309","103.8878695"
"","","","17.00","7.00","1.20","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","0.53","0.53","0.55","","","","","","","",""
"","","","17.00","7.00","1.20","0.00","","","","","","","","",""
"","","Sunday","7.00","23.59","2.15","0.00","","","","","","","","",""
"","","","0.00","7.00","1.20","0.00","","","","","","","","",""
"Hougang Mall","","Weekday","0.00","23.59","0.60","0.70","0.50","","","","","","","1.3726291","103.893938"
"","","Saturday","0.00","23.59","0.65","0.70","0.50","","","","","","","",""
"","","Sunday","0.00","23.59","0.65","0.70","0.50","","","","","","","",""
"Hougang Plaza","","Weekday","5.00","17.00","0.40","","","","","","","","","1.37073","103.895131"
"","","","17.00","4.59","1.50","0.00","","","","","","","","",""
"","","Saturday","5.00","17.00","0.40","","","","","","","","","",""
"","","","17.00","4.59","1.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","1.50","0.00","","","","","","","","",""
"Junction 8 Shopping Centre","","Weekday","0.00","17.59","0.53","0.53","0.32","","","","","","","1.3505524","103.8488353"
"","","","18.00","23.59","2.14","0.00","","","","","","","","",""
"","","Saturday","3.00","17.59","0.53","0.64","","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"","","Sunday","3.00","17.59","0.53","0.64","","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"Kampong Bugis Off-Street","","Weekday","7.00","6.59","0.50","","","","","","","","","1.3075391","103.8660948"
"","","Saturday","7.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","6.59","0.50","","","","","","","","","",""
"Kampong Kapor Road Off-Street","","Weekday","7.00","6.59","0.50","","","","","","","","","1.3079731","103.8547067"
"","","Saturday","7.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","6.59","0.50","","","","","","","","","",""
"Mustafa Centre","","Weekday","0.00","23.59","0.00","1.00","","","","","","","","1.309985","103.8554636"
"","","Saturday","0.00","23.59","0.00","1.00","","","","","","","","",""
"","","Sunday","7.00","6.59","0.00","1.00","","","","","","","","",""
"Nex Mall","","Weekday","0.00","23.59","1.30","0.65","","","","","","","","1.3507958","103.8722529"
"","","Saturday","0.00","23.59","1.40","0.70","","","","","","","","",""
"","","Sunday","7.00","6.59","1.40","0.70","","","","","","","","",""
"Northpoint Shopping Centre","","Weekday","0.00","23.59","0.60","0.60","0.80","","","","","","","1.4295657","103.8361296"
"","","Saturday","0.00","23.59","0.60","0.60","0.80","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.60","0.80","","","","","","","",""
"Parliament House","","Weekday","8.00","18.00","1.13","","","","","","","","","1.2897262","103.8504533"
"","","","18.00","8.00","2.06","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.13","","","","","","","","","",""
"","","","18.00","8.00","2.06","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.06","0.00","","","","","","","","",""
"Ramada Hotel","","Weekday","6.00","18.00","0.80","","","","","","","","","1.3270456","103.8465073"
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"","","Saturday","6.00","18.00","0.80","","","","","","","","","",""
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"","","Sunday","6.00","18.00","0.80","","","","","","","","","",""
